coordinate                                                                                         in uso         ultima         stato
-----------------------------------------------------------------------------------------------------------------------------------------------
androidx.core:core-ktx                                                                             1.19.0         1.19.0         aggiornata [google]
androidx.activity:activity-compose                                                                 1.13.0         1.13.0         aggiornata [google]
androidx.lifecycle:lifecycle-runtime-ktx                                                           2.11.0         2.11.0         aggiornata [google]
androidx.lifecycle:lifecycle-viewmodel-compose                                                     2.11.0         2.11.0         aggiornata [google]
androidx.lifecycle:lifecycle-runtime-compose                                                       2.11.0         2.11.0         aggiornata [google]
androidx.compose:compose-bom                                                                       2026.08.00     2026.08.00     aggiornata [google]
androidx.compose.ui:ui                                                                             (dalla BOM)    1.12.0         la decide la BOM [google]
androidx.compose.ui:ui-graphics                                                                    (dalla BOM)    1.12.0         la decide la BOM [google]
androidx.compose.ui:ui-tooling                                                                     (dalla BOM)    1.12.0         la decide la BOM [google]
androidx.compose.ui:ui-tooling-preview                                                             (dalla BOM)    1.12.0         la decide la BOM [google]
androidx.compose.foundation:foundation                                                             (dalla BOM)    1.12.0         la decide la BOM [google]
androidx.compose.material3:material3                                                               (dalla BOM)    1.4.0          la decide la BOM [google]
org.jetbrains.kotlinx:kotlinx-serialization-json                                                   1.11.0         1.11.0         aggiornata [central]
androidx.datastore:datastore-preferences                                                           1.2.1          1.2.1          aggiornata [google]
androidx.glance:glance-appwidget                                                                   1.2.0          1.2.0          aggiornata [google]
androidx.glance:glance-material3                                                                   1.2.0          1.2.0          aggiornata [google]
junit:junit                                                                                        4.13.2         4.13.2         aggiornata [central]
org.robolectric:robolectric                                                                        4.16.1         4.16.1         aggiornata [central]
com.android.application:com.android.application.gradle.plugin                                      9.2.1          9.4.0          DA AGGIORNARE [google]
org.jetbrains.kotlin.plugin.compose:org.jetbrains.kotlin.plugin.compose.gradle.plugin              2.4.10         2.4.10         aggiornata [central]
org.jetbrains.kotlin.plugin.serialization:org.jetbrains.kotlin.plugin.serialization.gradle.plugin  2.4.10         2.4.10         aggiornata [central]
