--------- beginning of system
08-27 07:00:13.637 W/Looper  (  506): Slow dispatch took 119ms android.fg h=android.os.Handler c=com.android.server.am.SameProcessApplicationThread$$ExternalSyntheticLambda1@dcd1df8 m=0
08-27 07:00:13.637 I/ActivityManager(  506): Posting BOOT_COMPLETED user #0
08-27 07:00:13.638 I/ActivityManager(  506): Flag disabled. Ignoring finishAttachApplication from uid: 1000. pid: 1848
--------- beginning of main
08-27 07:00:13.638 I/DefaultPermGrantPolicy(  506): Revoking permissions from disabled data services for user:0
08-27 07:00:13.638 I/AppWidgetServiceImpl(  506): Widget update scheduled on unlock AppWidgetId{2:Host{HostId{user:0, app:10113, hostId:1026, pkg:com.android.launcher3}}:Provider{ProviderId{user:0, app:10107, cmp:ComponentInfo{com.android.quicksearchbox/com.android.quicksearchbox.SearchWidgetProvider}}}}
08-27 07:00:13.639 I/AppWidgetServiceImpl(  506): Processing of handleUserUnlocked u0 took 1 ms
08-27 07:00:13.639 W/Looper  (  506): Drained
08-27 07:00:13.641 D/SystemServerTimingAsync(  506): ssm.UnlockedUser-0
08-27 07:00:13.645 I/SystemServiceManager(  506): Calling onUnlockedUser 0
08-27 07:00:13.645 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.security.FileIntegrityService
08-27 07:00:13.645 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.security.FileIntegrityService took to complete: 0ms
08-27 07:00:13.645 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.pm.Installer
08-27 07:00:13.645 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.pm.Installer took to complete: 0ms
08-27 07:00:13.645 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.os.DeviceIdentifiersPolicyService
08-27 07:00:13.645 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.os.DeviceIdentifiersPolicyService took to complete: 0ms
08-27 07:00:13.645 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.uri.UriGrantsManagerService$Lifecycle
08-27 07:00:13.645 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.uri.UriGrantsManagerService$Lifecycle took to complete: 0ms
08-27 07:00:13.645 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.powerstats.PowerStatsService
08-27 07:00:13.645 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.powerstats.PowerStatsService took to complete: 0ms
08-27 07:00:13.645 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.permission.access.AccessCheckingService
08-27 07:00:13.645 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.permission.access.AccessCheckingService took to complete: 0ms
08-27 07:00:13.645 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.wm.ActivityTaskManagerService$Lifecycle
08-27 07:00:13.645 I/LaunchParamsPersister(  506): Didn't find launch param folder for user 0
08-27 07:00:13.645 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.wm.ActivityTaskManagerService$Lifecycle took to complete: 0ms
08-27 07:00:13.645 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.am.ActivityManagerService$Lifecycle
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.am.ActivityManagerService$Lifecycle took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.pm.DataLoaderManagerService
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.pm.DataLoaderManagerService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.power.PowerManagerService
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.power.PowerManagerService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.power.ThermalManagerService
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.power.ThermalManagerService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.power.hint.HintManagerService
