== prestazioni ==
-- a riposo: qui il totale deve essere zero --
  coperto (fermo)        interfaccia 1.7 ms   rendering 1.8 ms   (mediane su 64 fotogrammi)
  notte (fermo)          interfaccia 1.1 ms   rendering 1.9 ms   (mediane su 63 fotogrammi)
-- animato: qui contano i millisecondi --
  coperto ventoso        interfaccia 1.1 ms   rendering 4.9 ms   (mediane su 101 fotogrammi)
  sereno di giorno       interfaccia 2.8 ms   rendering 6.1 ms   (mediane su 98 fotogrammi)
  pioggia                interfaccia 1.5 ms   rendering 5.9 ms   (mediane su 94 fotogrammi)
  neve                   interfaccia 0.7 ms   rendering 3.6 ms   (mediane su 114 fotogrammi)
  nebbia                 interfaccia 2.7 ms   rendering 5.5 ms   (mediane su 54 fotogrammi)
  temporale              interfaccia 1.4 ms   rendering 6.1 ms   (mediane su 93 fotogrammi)
-- sotto il dito: il caso peggiore --
  rotazione, sereno      interfaccia 1.3 ms   rendering 6.0 ms   (mediane su 22 fotogrammi)
  rotazione, neve        interfaccia 1.3 ms   rendering 5.3 ms   (mediane su 28 fotogrammi)
